"Name","organ","mouse_index","fold change"
"Dnmt1","LN","391",0.0383132428519895
"Dnmt1","Whole blood","391",0.0607446205452305
"Dnmt1","Cerebrum","391",0.510018692814744
"Dnmt1","Ear lobe","391",0.25812950044741
"Dnmt1","Eyeball","391",0.296054937567123
"Dnmt1","Heart","391",0.40776831851904
"Dnmt1","Kidney","391",0.285423423161385
"Dnmt1","Large intestine(crude)","391",0.0197308324706169
"Dnmt1","Large intestine(basal layer)","391",0.0876778387084404
"Dnmt1","Liver","391",0.169275384045987
"Dnmt1","Lung","391",0.265381750378307
"Dnmt1","Oral mucosa","391",0.28609844882432
"Dnmt1","Small intestine(basal layer)","391",0.075736447060638
"Dnmt1","Spleen","391",0.0354741837705141
"Dnmt1","B cell","391",0.0261327384514994
"Dnmt1","CD4 effector/memory","391",0.0200477156998896
"Dnmt1","CD4 naive","391",0.0503863547341808
"Dnmt1","CD8 central memory","391",0.0701156764195397
"Dnmt1","CD8 effector/memory","391",0.0797461732204948
"Dnmt1","CD8 naive","391",0.037761834603805
"Dnmt1","Treg","391",0.0457123680727715
"Dnmt1","Crude tail","391",0.128371020434309
"Dnmt1","Tail epidermis","391",0.0438508135356592
"Dnmt1","Thyroid","391",0.403371265536353
"Dnmt1","Tongue","391",0.389960846251125
"Dnmt1","mFat","391",0.180916030534351
"Dnmt1","pFat","391",0.325053429128401
"Dnmt1","Cerebellum","391",0.37371574740807
"Dnmt1","Whole blood","8",0.0640253667285888
"Dnmt1","Cerebrum","8",0.816093862416293
"Dnmt1","Epididymis","8",0.109499985313843
"Dnmt1","Sperm","8",0.00614779044759161
"Dnmt1","Dorsal skin dermis","8",0.367580439615639
"Dnmt1","Ear lobe","8",0.351805958344318
"Dnmt1","Eyeball","8",0.610404761433967
"Dnmt1","Heart","8",0.780372187760393
"Dnmt1","Kidney","8",0.405295805943894
"Dnmt1","Large intestine(basal layer)","8",0.262193433102524
"Dnmt1","Large intestine(epithelium)","8",0.0219432821943282
"Dnmt1","LN","8",0.0703824371231959
"Dnmt1","Lung","8",0.532172946949356
"Dnmt1","Oral mucosa","8",0.292736016669302
"Dnmt1","Dorsal epidermis","8",0.0719933339505601
"Dnmt1","Small intestine(basal layer)","8",0.120371907687199
"Dnmt1","Small intestine(epithelium)","8",0.0171564558082904
"Dnmt1","Spleen","8",0.0570808713052735
"Dnmt1","B cell","8",0.0387680988539358
"Dnmt1","CD4 effector/memory","8",0.0220535135635589
"Dnmt1","CD4 naive","8",0.0396325178933875
"Dnmt1","CD8 central memory","8",0.0410319294439466
"Dnmt1","CD8 effector/memory","8",0.071997897871595
"Dnmt1","CD8 naive","8",0.0551264605133499
"Dnmt1","Treg","8",0.0628830663827423
"Dnmt1","Tail epidermis","8",0.0418808659152007
"Dnmt1","Thyroid","8",0.216328430459877
"Dnmt1","Tongue","8",0.650273122858995
"Dnmt1","mFat","8",0.235427713387452
"Dnmt1","pFat","8",0.359989953768732
"Dnmt1","Cerebellum","8",1.10377078678346
"Dnmt1","Crude testis","A221",0.063660313032698
"Dnmt1","Spermatogonia","A221",0.0310566774742878
"Dnmt1","Meiosis II","A221",0.0275838886362288
"Dnmt1","Round spermatid","A221",0.0339448096355181
"Dnmt1","Sperm","A221",0.0976716928829893
"Dnmt1","Pachytene/Diplotene","A221",0.0112566024302716
"Gpi1","LN","264",0.713376684506895
"Gpi1","Epididymis","264",1.0689852031291
"Gpi1","Heart","264",1.60161769764755
"Gpi1","Kidney","264",1.25888963071507
"Gpi1","Large intestine(crude)","264",0.668590208452269
"Gpi1","Lung","264",0.991287045132503
"Gpi1","Small intestine(basal layer)","264",0.842727314807671
"Gpi1","Spleen","264",0.555650076874449
"Gpi1","Tail epidermis","264",0.660536020120041
"Gpi1","Crude testis","264",0.276249402107667
"Gpi1","Spermatogonia","264",0.236904229220348
"Gpi1","Meiosis II","264",0.197651633210412
"Gpi1","Round spermatid","264",0.16682353304223
"Gpi1","Sperm","264",0.31920507321288
"Gpi1","Pachytene/Diplotene","264",0.317816420052152
"Gpi1","Crude tail","264",0.919821393904096
"Gpi1","Cerebellum","264",1.39791084846708
"Gpi1","LN","385",0.503340482325531
"Gpi1","Cerebrum","385",1.18054034037432
"Gpi1","Epididymis","385",0.427982904136643
"Gpi1","Dorsal skin dermis","385",0.764962737806854
"Gpi1","Ear lobe","385",0.652389254910432
"Gpi1","Eyeball","385",0.697659347950194
"Gpi1","Heart","385",1.09685084322106
"Gpi1","Kidney","385",0.981500054003178
"Gpi1","Large intestine(basal layer)","385",0.773016926139081
"Gpi1","Large intestine(epithelium)","385",0.517529397337548
"Gpi1","Liver","385",1.27347567580579
"Gpi1","Lung","385",0.999494430013424
"Gpi1","Oral mucosa","385",0.559164339386832
"Gpi1","Dorsal epidermis","385",0.62970791995186
"Gpi1","Small intestine(basal layer)","385",0.505099442995788
"Gpi1","Small intestine(epithelium)","385",0.510283748129176
"Gpi1","Spleen","385",0.590547900819305
"Gpi1","B cell","385",0.681828701917884
"Gpi1","CD4 effector/memory","385",0.612488620758822
"Gpi1","CD4 naive","385",0.463162117541775
"Gpi1","CD8 central memory","385",0.859690633225873
"Gpi1","CD8 effector/memory","385",0.502410684474124
"Gpi1","CD8 naive","385",0.562126799463054
"Gpi1","Treg","385",0.506866835434106
"Gpi1","Crude tail","385",0.626375152366111
"Gpi1","Tail epidermis","385",0.487324682538458
"Gpi1","Crude testis","385",0.286247704864915
"Gpi1","Spermatogonia","385",0.304022465322245
"Gpi1","Meiosis II","385",0.401320763450649
"Gpi1","Round spermatid","385",0.304855657218682
"Gpi1","Sperm","385",0.264029254293253
"Gpi1","Pachytene/Diplotene","385",0.340868062520251
"Gpi1","Thyroid","385",0.897980965149818
"Gpi1","Tongue","385",0.605452778077795
"Gpi1","mFat","385",0.659239943836694
"Gpi1","pFat","385",0.74501626231345
"Gpi1","Cerebellum","385",1.11194087423431
"Gpi1","LN","391",0.369963396513608
"Gpi1","Whole blood","391",0.328083209509658
"Gpi1","Cerebrum","391",0.612024788895734
"Gpi1","Ear lobe","391",0.423324756278766
"Gpi1","Eyeball","391",0.422886976766409
"Gpi1","Heart","391",0.518749702763114
"Gpi1","Kidney","391",0.463549689454941
"Gpi1","Large intestine(crude)","391",0.351100068578624
"Gpi1","Large intestine(basal layer)","391",0.35436461571247
"Gpi1","Liver","391",0.42967419273004
"Gpi1","Lung","391",0.470206211720364
"Gpi1","Oral mucosa","391",0.447156887616424
"Gpi1","Small intestine(basal layer)","391",0.30834294690852
"Gpi1","Spleen","391",0.30951328235422
"Gpi1","B cell","391",0.278224848997173
"Gpi1","CD4 effector/memory","391",0.248587570621469
"Gpi1","CD4 naive","391",0.283546855521074
"Gpi1","CD8 central memory","391",0.282088091018808
"Gpi1","CD8 effector/memory","391",0.345805235230725
"Gpi1","CD8 naive","391",0.295720958710659
"Gpi1","Treg","391",0.422773201925109
"Gpi1","Crude tail","391",0.384303927474546
"Gpi1","Tail epidermis","391",0.203399412894575
"Gpi1","Thyroid","391",0.511825462979741
"Gpi1","Tongue","391",0.489048161013399
"Gpi1","mFat","391",0.417344108416274
"Gpi1","pFat","391",0.674744978908666
"Gpi1","Cerebellum","391",0.392708295582213
"Gpi1","Whole blood","8",0.309102220993275
"Gpi1","Cerebrum","8",0.768794108622277
"Gpi1","Epididymis","8",0.375776525280783
"Gpi1","Sperm","8",0.177048638828484
"Gpi1","Dorsal skin dermis","8",0.741548362672724
"Gpi1","Ear lobe","8",0.557596604215457
"Gpi1","Eyeball","8",0.637339691587071
"Gpi1","Heart","8",0.886322690421379
"Gpi1","Kidney","8",0.767340606545891
"Gpi1","Large intestine(basal layer)","8",0.608099862714191
"Gpi1","Large intestine(epithelium)","8",0.424018196475872
"Gpi1","LN","8",0.407289570427998
"Gpi1","Lung","8",0.754729256330698
"Gpi1","Oral mucosa","8",0.481847435169411
"Gpi1","Dorsal epidermis","8",0.601666499849865
"Gpi1","Small intestine(basal layer)","8",0.461874808223381
"Gpi1","Small intestine(epithelium)","8",0.358238723534827
"Gpi1","Spleen","8",0.33759425070688
"Gpi1","B cell","8",0.301366635249764
"Gpi1","CD4 effector/memory","8",0.224452006806126
"Gpi1","CD4 naive","8",0.350229436884963
"Gpi1","CD8 central memory","8",0.272266729500471
"Gpi1","CD8 effector/memory","8",0.407634307257304
"Gpi1","CD8 naive","8",0.34926839173086
"Gpi1","Treg","8",0.440796717045341
"Gpi1","Tail epidermis","8",0.379653628652215
"Gpi1","Thyroid","8",0.432719716674185
"Gpi1","Tongue","8",0.798493644279852
"Gpi1","mFat","8",0.847777256056549
"Gpi1","pFat","8",0.668786674238122
"Gpi1","Cerebellum","8",1.0418036371845
"Gpi1","Crude testis","A221",0.386185650120926
"Gpi1","Spermatogonia","A221",0.363694420052686
"Gpi1","Meiosis II","A221",0.483443615175158
