"Name","serial_number","order","gene","median_FC","median_reads","organ","sample","mouse_index"
"Cd45-8","h",49,"Cd45",1.16654753395282,544,"Cerebrum","A123-Cerebrum","A123"
"Trp53-9","i",50,"Trp53",1.42808219178082,556,"Cerebrum","A123-Cerebrum","A123"
"Cd19-9","i",51,"Cd19",1.1190019193858,583,"Cerebrum","A123-Cerebrum","A123"
"Kpnb1-9","i",52,"Kpnb1",0.203531598513011,73,"Cerebrum","A123-Cerebrum","A123"
"Polr2a-9","i",53,"Polr2a",0.552891396332863,196,"Cerebrum","A123-Cerebrum","A123"
"Pten-9","i",54,"Pten",2.84659090909091,1002,"Cerebrum","A123-Cerebrum","A123"
"Cd45-9","i",55,"Cd45",1.33138173302108,379,"Cerebrum","A123-Cerebrum","A123"
"Trp53-10","j",56,"Trp53",1.28781793842035,481,"Cerebrum","A123-Cerebrum","A123"
"Cd19-10","j",57,"Cd19",1.32970620239391,611,"Cerebrum","A123-Cerebrum","A123"
"Kpnb1-10","j",58,"Kpnb1",0.238317757009346,102,"Cerebrum","A123-Cerebrum","A123"
"Polr2a-10","j",59,"Polr2a",0.671115347950429,352,"Cerebrum","A123-Cerebrum","A123"
"Pten-10","j",60,"Pten",3.57003891050584,1835,"Cerebrum","A123-Cerebrum","A123"
